GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ElcectronicStore,com.lcwd.electronic.store.config,ProjectConfig,0,7,0,0,0,2,0,2,0,2
ElcectronicStore,com.lcwd.electronic.store.config,AppConstant,3,0,0,0,1,0,1,0,1,0
ElcectronicStore,com.lcwd.electronic.store.payloads,ImageResponse.ImageResponseBuilder,45,0,0,0,1,0,7,0,7,0
ElcectronicStore,com.lcwd.electronic.store.payloads,ApiResponse.ApiResponseBuilder,8,28,0,0,0,1,1,5,1,5
ElcectronicStore,com.lcwd.electronic.store.payloads,ApiResponse,15,25,0,0,2,5,4,5,4,5
ElcectronicStore,com.lcwd.electronic.store.payloads,ImageResponse,50,0,0,0,8,0,11,0,11,0
ElcectronicStore,com.lcwd.electronic.store.service.serviceImpl,CategoryServiceImpl,13,136,0,0,0,31,3,7,3,7
ElcectronicStore,com.lcwd.electronic.store.service.serviceImpl,FileServiceImpl,73,3,8,0,15,1,6,1,2,1
ElcectronicStore,com.lcwd.electronic.store.service.serviceImpl,ProductServiceImpl,355,7,6,0,57,2,18,2,15,2
ElcectronicStore,com.lcwd.electronic.store.service.serviceImpl,UserServiceImpl,62,190,0,0,12,44,5,11,5,11
ElcectronicStore,com.lcwd.electronic.store.controller,CategoryController,24,104,0,0,4,23,2,7,2,7
ElcectronicStore,com.lcwd.electronic.store.controller,UserController,100,113,0,0,21,26,3,8,3,8
ElcectronicStore,com.lcwd.electronic.store.controller,ProductController,216,7,0,0,50,2,9,2,9,2
ElcectronicStore,com.lcwd.electronic.store.entities,Order,130,0,0,0,16,0,25,0,25,0
ElcectronicStore,com.lcwd.electronic.store.entities,Product.ProductBuilder,108,0,0,0,1,0,14,0,14,0
ElcectronicStore,com.lcwd.electronic.store.entities,Product,117,3,0,0,14,1,24,1,24,1
